ISIN;Date;Opening;High;Low;Closing;Volume
FR001400AJ45;20/11/23;29,68;29,92;29,57;29,73;701463
FR001400AJ45;21/11/23;29,72;29,89;29,40;29,48;1099112
FR001400AJ45;22/11/23;29,53;30,02;29,53;29,82;1169381
FR001400AJ45;23/11/23;29,75;29,97;29,75;29,85;571479
FR001400AJ45;24/11/23;29,51;29,93;29,48;29,90;819637
FR001400AJ45;27/11/23;29,91;30,04;29,74;29,81;1323069
FR001400AJ45;28/11/23;29,77;30,11;29,61;30,11;1245514
FR001400AJ45;29/11/23;30,45;30,94;30,44;30,84;1519198
FR001400AJ45;30/11/23;30,81;30,94;30,62;30,81;2620661
FR001400AJ45;01/12/23;30,88;31,07;30,77;31,05;895837
FR001400AJ45;04/12/23;30,92;31,16;30,92;31,02;759997
FR001400AJ45;05/12/23;30,90;31,50;30,88;31,40;1368479
FR001400AJ45;06/12/23;31,50;31,86;31,30;31,60;1528829
FR001400AJ45;07/12/23;31,49;31,90;31,14;31,83;1397466
FR001400AJ45;08/12/23;31,75;31,97;31,65;31,92;1185990
FR001400AJ45;11/12/23;31,98;32,26;31,98;32,20;1191553
FR001400AJ45;12/12/23;32,25;32,31;31,84;31,88;1743659
FR001400AJ45;13/12/23;31,88;32,08;31,67;31,72;1195137
FR001400AJ45;14/12/23;32,11;32,23;31,41;32,04;2221249
FR001400AJ45;15/12/23;32,21;32,29;31,88;32,26;3219562
FR001400AJ45;18/12/23;31,97;32,21;31,93;32,17;1162320
FR001400AJ45;19/12/23;32,25;32,35;32,06;32,16;1073010
FR001400AJ45;20/12/23;32,32;32,45;32,14;32,45;1322587
FR001400AJ45;21/12/23;32,20;32,52;32,10;32,52;1012161
FR001400AJ45;22/12/23;32,42;32,63;32,36;32,41;692574
FR001400AJ45;27/12/23;32,26;32,65;32,26;32,35;588926
FR001400AJ45;28/12/23;32,34;32,41;32,22;32,36;793166
FR001400AJ45;29/12/23;32,36;32,55;32,33;32,46;646611
FR001400AJ45;02/01/24;32,47;32,83;32,27;32,61;875882
